contract_id,contract_name,source,contract_type,expected_risk,latency_ms,status,total_classified,human_review_flagged,avg_confidence,avg_entropy,avg_margin,num_rewrites,avg_risk_reduction,sim_mean_risk,sim_ci_lower,sim_ci_upper,sim_ci_width,sim_volatility,sim_dominant_source,num_anomalies,overall_risk,risk_level,structural_risk,num_conflicts,completeness,power_score,dispute_risk,num_hotspots
edge_004,Highly Ambiguous MSA,eval_dataset,MSA,medium,1242,SUCCESS,11,11,0.0723,0.9998,0.0023,4,0,65.6,0,0,0,unknown,classification,0,66.54444444444444,MEDIUM,100,0,0.5,1.0,72.7,5
edge_001,MSA with Missing Clauses,eval_dataset,MSA,high,296,SUCCESS,8,8,0.0727,0.9999,0.0031,3,0,69.2,0,0,0,unknown,classification,0,70.2875,HIGH,100,0,0.36,17.5,73.6,5
edge_002,Outdated 2018 MSA,eval_dataset,MSA,high,216,SUCCESS,12,12,0.0753,0.9994,0.0047,3,0,65.6,0,0,0,unknown,classification,1,66.39375,MEDIUM,100,0,0.57,21.0,64.4,4
edge_003,Vendor Agreement - Extreme Power Imbalance,eval_dataset,Vendor,high,246,SUCCESS,13,13,0.0732,0.9998,0.0025,3,0,29.5,0,0,0,unknown,classification,0,29.487499999999997,LOW,42.5,1,1.0,5.0,31.5,2
employment_002,Executive Employment with Non-Compete,eval_dataset,Employment,high,168,SUCCESS,13,13,0.0726,0.9998,0.0027,2,0,30.3,0,0,0,unknown,classification,2,30.143749999999997,LOW,49.0,1,0.88,0.0,30.9,2
finance_001,Commercial Lending Agreement,eval_dataset,Loan,high,122,SUCCESS,13,13,0.0709,1.0,0.0013,1,0,15.8,0,0,0,unknown,classification,1,15.808333333333332,LOW,17.5,0,1.0,11.7,16.4,1
health_001,HIPAA Business Associate Agreement,eval_dataset,BAA,medium,243,SUCCESS,13,13,0.0716,1.0,0.0018,3,0,30.9,0,0,0,unknown,classification,0,30.924999999999997,LOW,45.0,1,1.0,3.5,33.4,2
intl_001,EU Data Processing Agreement,eval_dataset,DPA,medium,396,SUCCESS,12,12,0.0726,1.0,0.0023,8,0,62.1,0,0,0,unknown,classification,1,63.30416666666666,MEDIUM,100,1,0.67,5.3,64.5,4
msa_003,AI Solutions MSA - Novel AI Clauses,eval_dataset,MSA,medium,436,SUCCESS,15,15,0.0731,0.9998,0.0031,9,0,73.4,0,0,0,unknown,classification,1,74.6125,HIGH,100,1,0.64,15.0,83.2,5
msa_001,TechCorp MSA - Balanced Terms,eval_dataset,MSA,low,139,SUCCESS,15,15,0.0745,0.9997,0.004,2,0,60.0,0,0,0,unknown,classification,2,59.79418859649123,MEDIUM,75.0,1,0.86,36.5,60.0,3
msa_002,CloudVendor MSA - Vendor Heavy,eval_dataset,MSA,high,255,SUCCESS,14,14,0.0731,0.9999,0.0031,5,0,67.8,0,0,0,unknown,classification,0,69.17625000000001,MEDIUM,100,2,0.71,25.8,68.1,3
nda_001,Mutual NDA - Standard,eval_dataset,NDA,low,295,SUCCESS,11,11,0.0742,0.9996,0.0029,3,0,58.1,0,0,0,unknown,classification,0,58.69375,MEDIUM,100,0,0.57,0.0,57.4,3
nda_002,One-Sided NDA - Investor Disclosure,eval_dataset,NDA,medium,84,SUCCESS,11,11,0.0739,0.9997,0.0038,0,0,43.6,0,0,0,unknown,classification,0,43.58541666666667,MEDIUM,86,0,0.43,5.8,33.2,1
sla_001,Cloud Services SLA,eval_dataset,SLA,medium,336,SUCCESS,10,10,0.0726,0.9999,0.0014,6,0,66.9,0,0,0,unknown,classification,0,68.13819444444444,MEDIUM,100,1,0.22,12.2,71.4,5
tech_002,Web3 Platform Terms of Service,eval_dataset,Terms,high,449,SUCCESS,17,17,0.0714,1.0,0.0016,8,0,25.3,0,0,0,unknown,classification,0,23.667307692307695,LOW,0,0,1.0,61.7,22.6,2
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ ,cuad,MSA,unknown,116,SUCCESS,5,5,0.0712,1.0,0.0014,3,0,67.9,0,0,0,unknown,classification,1,69.38607954545455,MEDIUM,100,1,0.21,12.0,74.0,8
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,cuad,MSA,unknown,382,SUCCESS,7,7,0.0713,0.9999,0.0021,6,0,77.6,0,0,0,unknown,classification,1,79.52222222222221,HIGH,100,1,0.43,43.9,81.5,10
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,cuad,MSA,unknown,179,SUCCESS,11,11,0.0714,0.9999,0.0013,3,0,70.9,0,0,0,unknown,classification,1,72.72916666666667,HIGH,100,1,0.43,0.3,85.3,6
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,cuad,MSA,unknown,575,SUCCESS,9,9,0.0706,1.0,0.0014,4,0,75.7,0,0,0,unknown,classification,2,77.35110294117646,HIGH,100,1,0.36,45.9,76.3,9
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,cuad,MSA,unknown,176,SUCCESS,10,10,0.0718,0.9999,0.0016,5,0,68.8,0,0,0,unknown,classification,1,70.3125,HIGH,100,1,0.36,15.0,74.6,7
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALL,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,cuad,MSA,unknown,384,SUCCESS,8,8,0.0706,1.0,0.0011,7,0,81.4,0,0,0,unknown,classification,4,83.50833333333334,HIGH,100,1,0.36,47.1,88.2,10
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT","ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT",cuad,MSA,unknown,361,SUCCESS,10,10,0.0708,1.0,0.0017,7,0,84.3,0,0,0,unknown,classification,1,85.90320512820513,HIGH,100,1,0.29,83.2,78.5,8
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing ","ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement ",cuad,MSA,unknown,219,SUCCESS,7,7,0.0701,1.0,0.0009,3,0,70.8,0,0,0,unknown,classification,1,72.35,HIGH,100,1,0.36,5.0,82.7,6
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)","ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",cuad,MSA,unknown,131,SUCCESS,8,8,0.073,0.9996,0.0029,3,0,65.8,0,0,0,unknown,classification,1,66.7875,MEDIUM,100,0,0.43,0.0,73.6,5
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT","ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT",cuad,MSA,unknown,96,SUCCESS,8,8,0.073,0.9996,0.0029,3,0,65.9,0,0,0,unknown,classification,1,66.7875,MEDIUM,100,0,0.43,0.0,73.6,5
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,cuad,MSA,unknown,317,SUCCESS,7,7,0.07,1.0,0.0006,5,0,65.3,0,0,0,unknown,classification,2,66.13125,MEDIUM,100,0,0.14,0.0,72.3,10
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,cuad,MSA,unknown,94,SUCCESS,4,4,0.0705,1.0,0.001,1,0,65.4,0,0,0,unknown,classification,1,66.94305555555555,MEDIUM,100,1,0.14,0.8,73.6,8
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AG,AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT,cuad,Franchise,unknown,151,SUCCESS,4,4,0.0725,1.0,0.0023,3,0,29.0,0,0,0,unknown,classification,1,28.944999999999997,LOW,30.0,0,1.0,27.0,29.1,2
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT,ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT,cuad,MSA,unknown,208,SUCCESS,5,5,0.0722,0.9998,0.002,1,0,66.1,0,0,0,unknown,classification,0,67.25625,MEDIUM,100,1,0.21,1.2,74.0,7
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,cuad,MSA,unknown,303,SUCCESS,8,8,0.0709,1.0,0.0009,6,0,68.1,0,0,0,unknown,classification,2,69.6125,MEDIUM,100,0,0.29,15.0,73.2,10
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AG,ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT,cuad,MSA,unknown,187,SUCCESS,5,5,0.071,1.0,0.0016,1,0,65.2,0,0,0,unknown,classification,1,66.74375,MEDIUM,100,0,0.21,0.0,73.5,7
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATIO,ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT,cuad,MSA,unknown,262,SUCCESS,6,6,0.0705,1.0,0.0007,4,0,66.6,0,0,0,unknown,classification,2,68.44375,MEDIUM,100,1,0.21,5.0,74.9,10
