contract_id,contract_name,source,contract_type,expected_risk,status,v11_risk,v12_fused_risk,v12_confidence,risk_delta,sym_violations,sym_risk,sym_fused,sym_alpha,sym_critical,sym_high,sym_medium,rag_searched,rag_retrieved,rag_avg_relevance,rag_top_relevance,gnn_graph_risk,gnn_heuristic_risk,gnn_anomaly,gnn_nodes,gnn_edges,gnn_avg_delta,gnn_max_delta,debate_verdict,debate_sustained,debate_overruled,debate_risk_adj,debate_pro_args,debate_def_args,debate_duration_ms,v11_latency_ms,v12_latency_ms,total_latency_ms
edge_004,Highly Ambiguous MSA,eval_dataset,MSA,medium,SUCCESS,50.0,54.62,0.932,4.62,4,35.0,39.03,0.269,1,1,2,25,10,0.746,0.854,54.43,57.27,0.036,11,10,-0.028,0.263,high_risk,3,0,0.25,3,3,0,1747,7053,8800
edge_001,MSA with Missing Clauses,eval_dataset,MSA,high,SUCCESS,50.0,51.32,0.952,1.32,4,30.0,35.38,0.269,0,2,2,25,10,0.688,0.854,53.91,58.75,0.037,8,8,-0.047,0.167,high_risk,2,0,0.16,2,2,0,373,79,452
edge_002,Outdated 2018 MSA,eval_dataset,MSA,high,SUCCESS,50.0,54.13,0.842,4.13,2,19.0,28.3,0.3,0,2,0,25,10,0.807,0.913,54.21,60.0,0.044,12,10,-0.058,0.331,high_risk,4,0,0.34,5,5,0,290,189,479
edge_003,Vendor Agreement - Extreme Power Imbalance,eval_dataset,Vendor,high,SUCCESS,50.0,56.49,0.779,6.49,2,19.0,28.28,0.299,0,2,0,25,10,0.835,0.913,54.17,63.08,0.062,13,10,-0.086,0.333,high_risk,5,0,0.435,8,8,0,341,137,478
employment_002,Executive Employment with Non-Compete,eval_dataset,Employment,high,SUCCESS,50.0,58.76,0.74,8.76,2,22.0,30.37,0.299,0,2,0,25,10,0.816,0.913,54.66,68.46,0.052,13,10,-0.136,0.335,high_risk,6,0,0.515,10,10,0,250,147,397
finance_001,Commercial Lending Agreement,eval_dataset,Loan,high,SUCCESS,50.0,53.24,0.961,3.24,4,37.0,40.49,0.268,0,4,0,25,10,0.746,0.913,54.48,56.92,0.065,13,10,-0.026,0.333,high_risk,2,0,0.18,4,4,0,158,159,317
health_001,HIPAA Business Associate Agreement,eval_dataset,BAA,medium,SUCCESS,50.0,59.35,0.842,9.35,3,36.0,39.97,0.284,1,2,0,25,10,0.786,0.889,54.91,60.0,0.024,13,10,-0.051,0.262,high_risk,5,0,0.425,8,8,0,310,161,471
intl_001,EU Data Processing Agreement,eval_dataset,DPA,medium,SUCCESS,50.0,58.75,0.82,8.75,3,31.0,36.4,0.284,0,3,0,25,10,0.779,0.913,55.08,65.0,0.009,12,4,-0.101,0.331,high_risk,5,0,0.435,10,10,0,508,139,647
msa_003,AI Solutions MSA - Novel AI Clauses,eval_dataset,MSA,medium,SUCCESS,50.0,60.05,0.767,10.05,4,30.0,35.39,0.269,0,2,2,25,10,0.795,0.913,54.81,63.33,0.041,15,10,-0.09,0.332,high_risk,6,0,0.515,9,9,0,807,185,992
msa_001,TechCorp MSA - Balanced Terms,eval_dataset,MSA,low,SUCCESS,50.0,55.25,0.744,5.25,1,10.0,22.59,0.315,0,1,0,25,10,0.807,0.913,54.9,56.0,0.051,15,10,-0.012,0.334,high_risk,5,0,0.435,5,5,0,301,349,650
msa_002,CloudVendor MSA - Vendor Heavy,eval_dataset,MSA,high,SUCCESS,50.0,58.5,0.734,8.5,3,21.0,29.24,0.284,0,1,2,25,10,0.822,0.913,54.75,64.29,0.044,14,10,-0.098,0.332,high_risk,7,0,0.605,9,9,0,363,178,541
nda_001,Mutual NDA - Standard,eval_dataset,NDA,low,SUCCESS,50.0,56.46,0.952,6.46,4,46.0,47.08,0.27,1,3,0,25,10,0.709,0.854,53.76,56.36,0.091,11,10,-0.016,0.234,high_risk,3,0,0.25,3,3,0,401,126,527
nda_002,One-Sided NDA - Investor Disclosure,eval_dataset,NDA,medium,SUCCESS,50.0,52.56,0.951,2.56,3,32.0,37.12,0.285,0,3,0,25,10,0.736,0.913,55.12,54.55,0.0,11,2,0.006,0.332,high_risk,2,0,0.18,2,2,0,93,232,325
sla_001,Cloud Services SLA,eval_dataset,SLA,medium,SUCCESS,50.0,56.14,0.882,6.14,3,31.0,36.4,0.284,0,3,0,25,10,0.677,0.885,54.68,63.0,0.08,10,10,-0.093,0.251,high_risk,4,0,0.335,5,5,0,490,121,611
tech_002,Web3 Platform Terms of Service,eval_dataset,Terms,high,SUCCESS,50.0,56.78,0.982,6.78,6,55.0,53.75,0.25,0,5,1,25,10,0.774,0.913,55.38,61.76,0.03,17,10,-0.064,0.333,high_risk,2,0,0.18,5,5,0,673,195,868
